order_id,weekday,date,time,items_ordered,order_total
1,Thursday,2015-01-01,11:38:36,1,13.25
2,Thursday,2015-01-01,11:57:40,5,92.0
3,Thursday,2015-01-01,12:12:28,2,37.25
4,Thursday,2015-01-01,12:16:31,1,16.5
5,Thursday,2015-01-01,12:21:30,1,16.5
6,Thursday,2015-01-01,12:29:36,2,24.75
7,Thursday,2015-01-01,12:50:37,1,12.5
8,Thursday,2015-01-01,12:51:37,1,12.5
9,Thursday,2015-01-01,12:52:01,9,143.25
10,Thursday,2015-01-01,13:00:15,2,41.0
11,Thursday,2015-01-01,13:02:59,4,73.5
12,Thursday,2015-01-01,13:04:41,4,70.75
13,Thursday,2015-01-01,13:11:55,1,20.25
14,Thursday,2015-01-01,13:14:19,1,12.0
15,Thursday,2015-01-01,13:33:00,4,63.25
16,Thursday,2015-01-01,13:34:07,3,50.7
17,Thursday,2015-01-01,13:53:00,11,184.5
18,Thursday,2015-01-01,13:57:08,1,20.5
19,Thursday,2015-01-01,13:59:09,2,40.75
20,Thursday,2015-01-01,14:03:08,2,30.5
21,Thursday,2015-01-01,14:14:29,1,20.5
22,Thursday,2015-01-01,14:16:26,3,55.25
23,Thursday,2015-01-01,14:19:03,1,12.75
24,Thursday,2015-01-01,14:23:01,4,57.75
25,Thursday,2015-01-01,14:44:44,2,37.0
26,Thursday,2015-01-01,14:54:26,2,32.25
27,Thursday,2015-01-01,15:11:17,3,57.0
28,Thursday,2015-01-01,15:35:46,1,12.75
29,Thursday,2015-01-01,15:41:01,1,12.0
30,Thursday,2015-01-01,15:41:25,1,20.75
31,Thursday,2015-01-01,15:50:18,2,25.75
32,Thursday,2015-01-01,15:53:18,4,69.25
33,Thursday,2015-01-01,15:54:08,2,32.75
34,Thursday,2015-01-01,16:21:21,1,12.0
35,Thursday,2015-01-01,16:32:04,4,66.75
36,Thursday,2015-01-01,16:54:09,2,32.75
37,Thursday,2015-01-01,16:56:09,2,41.0
38,Thursday,2015-01-01,17:03:00,2,31.0
39,Thursday,2015-01-01,17:07:23,1,20.75
40,Thursday,2015-01-01,17:14:36,2,30.7
41,Thursday,2015-01-01,17:15:20,2,26.75
42,Thursday,2015-01-01,17:28:09,4,67.25
43,Thursday,2015-01-01,17:38:34,3,54.0
44,Thursday,2015-01-01,17:54:20,1,12.5
45,Thursday,2015-01-01,17:55:48,3,45.2
46,Thursday,2015-01-01,18:25:51,3,58.0
47,Thursday,2015-01-01,18:26:34,2,32.75
48,Thursday,2015-01-01,18:26:42,4,70.25
49,Thursday,2015-01-01,18:33:00,1,20.25
50,Thursday,2015-01-01,18:41:01,1,25.5
51,Thursday,2015-01-01,18:48:28,2,38.25
52,Thursday,2015-01-01,18:53:02,3,57.5
53,Thursday,2015-01-01,18:54:17,2,27.5
54,Thursday,2015-01-01,19:01:45,2,37.25
55,Thursday,2015-01-01,19:03:19,2,33.25
56,Thursday,2015-01-01,19:07:00,3,53.0
57,Thursday,2015-01-01,19:10:51,1,16.0
58,Thursday,2015-01-01,19:30:40,2,31.0
59,Thursday,2015-01-01,19:40:08,3,39.0
60,Thursday,2015-01-01,20:05:16,2,35.5
61,Thursday,2015-01-01,20:08:43,2,37.5
62,Thursday,2015-01-01,20:50:16,2,33.25
63,Thursday,2015-01-01,20:51:42,1,14.5
64,Thursday,2015-01-01,20:52:08,1,12.0
65,Thursday,2015-01-01,21:16:00,4,52.25
66,Thursday,2015-01-01,21:47:55,2,32.0
67,Thursday,2015-01-01,22:03:40,1,20.75
68,Thursday,2015-01-01,22:07:32,3,53.25
69,Thursday,2015-01-01,22:12:13,1,20.75
70,Friday,2015-01-02,11:38:51,2,33.5
71,Friday,2015-01-02,11:40:50,1,20.75
72,Friday,2015-01-02,11:57:25,1,20.25
73,Friday,2015-01-02,11:58:56,1,12.75
74,Friday,2015-01-02,12:01:12,4,72.0
75,Friday,2015-01-02,12:10:15,3,53.25
76,Friday,2015-01-02,12:21:17,4,70.25
77,Friday,2015-01-02,12:22:46,2,30.0
78,Friday,2015-01-02,12:28:14,8,132.95
79,Friday,2015-01-02,12:29:11,3,52.25
80,Friday,2015-01-02,12:35:38,2,26.5
81,Friday,2015-01-02,12:40:01,1,20.75
82,Friday,2015-01-02,12:45:51,4,65.5
83,Friday,2015-01-02,12:53:27,1,12.75
84,Friday,2015-01-02,13:13:41,1,15.25
85,Friday,2015-01-02,13:34:49,4,64.75
86,Friday,2015-01-02,13:40:31,1,16.5
87,Friday,2015-01-02,14:01:02,4,65.25
88,Friday,2015-01-02,14:10:08,1,18.5
89,Friday,2015-01-02,14:30:19,2,41.5
90,Friday,2015-01-02,15:08:48,2,33.0
91,Friday,2015-01-02,15:14:43,4,64.0
92,Friday,2015-01-02,15:17:02,10,152.25
93,Friday,2015-01-02,15:29:31,1,16.25
94,Friday,2015-01-02,16:17:16,2,28.75
95,Friday,2015-01-02,16:18:04,2,32.75
96,Friday,2015-01-02,16:21:20,1,12.0
97,Friday,2015-01-02,16:45:33,1,12.0
98,Friday,2015-01-02,17:18:18,2,41.0
